Resp;Desc Resp;VP;Gerencia;Proc;Desc Proc;Item;Desc Item;Classif;CC; Jan-25 ; Feb-25 ; Mar-25 ; Apr-25 ; May-25 ; Jun-25 ; Jul-25 ; Aug-25 ; Sep-25 ; Oct-25 ; Nov-25 ; Dec-25 ; FY25 ; FY26 ; FY27 ; FY28 ; FY29 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5302;Suscripciones Varias (Fisicas y Electron;Expenses;100010015302; 950 ; 975 ; 1.000 ; 883 ; 942 ; 983 ; 892 ; 867 ; 917 ; 967 ; 842 ; 817 ; 11.033 ; 10.050 ; 11.282 ; 12.619 ; 10.635 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5411;Ropa y Equipos Proteccion Personal      ;Expenses;100010015411; 111 ; 132 ; 124 ; 116 ; 125 ; 132 ; 119 ; 122 ; 112 ; 114 ; 118 ; 130 ; 1.455 ; 1.533 ; 1.536 ; 1.584 ; 230 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5501;Honorarios Consultores Nacionales       ;Expenses;100010015501; 19.833 ; 17.500 ; 17.167 ; 16.500 ; 16.833 ; 19.667 ; 19.333 ; 19.667 ; 20.000 ; 19.667 ; 18.167 ; 17.333 ; 221.667 ; 196.190 ; 202.692 ; 239.963 ; 237.655 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5502;Honorarios Consultores Extranjeros      ;Expenses;100010015502; 8.167 ; 9.083 ; 9.417 ; 9.000 ; 10.000 ; 8.500 ; 8.250 ; 9.750 ; 10.000 ; 9.167 ; 9.750 ; 9.833 ; 110.917 ; 121.320 ; 104.566 ; 108.215 ; 106.670 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5503;Otros Gastos Consultores                ;Expenses;100010015503; 4.520 ; 4.520 ; 4.360 ; 4.440 ; 4.800 ; 3.960 ; 4.560 ; 3.920 ; 3.920 ; 4.280 ; 4.400 ; 4.160 ; 51.840 ; 50.652 ; 53.169 ; 52.999 ; 58.707 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5603;Otros Gastos Reuniones                  ;Expenses;100010015603; 312 ; 286 ; 315 ; 312 ; 350 ; 303 ; 324 ; 324 ; 306 ; 303 ; 324 ; 338 ; 3.798 ; 3.517 ; 4.308 ; 4.196 ; 3.946 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;6114;Gastos Generales Oficinas               ;Expenses;100010016114; 488 ; 517 ; 546 ; 570 ; 551 ; 488 ; 556 ; 503 ; 498 ; 493 ; 498 ; 541 ; 6.250 ; 6.120 ; 5.830 ; 6.770 ; 6.847 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;6148;Gastos Cafeteria                        ;Expenses;100010016148; 2.180 ; 1.980 ; 2.160 ; 2.380 ; 2.120 ; 2.280 ; 2.140 ; 2.320 ; 2.120 ; 2.320 ; 2.380 ; 2.200 ; 26.580 ; 24.361 ; 27.569 ; 25.238 ; 26.801 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;6591;Gastos Especiales CEO                   ;Expenses;100010016591; 141.250 ; 133.750 ; 123.750 ; 146.250 ; 136.250 ; 150.000 ; 131.250 ; 123.750 ; 128.750 ; 126.250 ; 142.500 ; 133.750 ; 1.617.500 ; 1.730.134 ; 1.708.173 ; 1.578.280 ; 1.654.319 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;6593;Promocion Pucobre                       ;Expenses;100010016593; 257.550 ; 295.800 ; 260.100 ; 270.300 ; 277.950 ; 272.850 ; 285.600 ; 255.000 ; 249.900 ; 306.000 ; 303.450 ; 280.500 ; 3.315.000 ; 3.495.836 ; 3.074.232 ; 3.757.150 ; 3.878.143 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;3101;Remuneraciones Supervision              ;Labor;101210113101; 48.095 ; 40.195 ; 41.630 ; 51.176 ; 44.737 ; 45.346 ; 42.573 ; 40.637 ; 44.365 ; 48.606 ; 39.277 ; 42.832 ; 529.468 ; 535.757 ; 583.057 ; 560.042 ; 626.136 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5111;Pasajes Nacionales                      ;Expenses;101210115111; 2.592 ; 2.664 ; 2.400 ; 2.880 ; 2.688 ; 2.400 ; 2.760 ; 2.856 ; 2.664 ; 2.376 ; 2.496 ; 2.472 ; 31.248 ; 32.126 ; 31.901 ; 30.588 ; 32.468 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5112;Hoteles Estadia Alimentacion Nacionales ;Expenses;101210115112; 1.428 ; 1.248 ; 1.440 ; 1.224 ; 1.176 ; 1.404 ; 1.176 ; 1.260 ; 1.176 ; 1.356 ; 1.236 ; 1.344 ; 15.468 ; 15.919 ; 14.621 ; 15.748 ; 17.918 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5113;Gastos Representacion Nacionales        ;Expenses;101210115113; 148 ; 154 ; 155 ; 165 ; 146 ; 141 ; 137 ; 146 ; 154 ; 164 ; 150 ; 153 ; 1.813 ; 1.874 ; 1.826 ; 1.837 ; 2.037 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5121;Pasajes Internacionales                 ;Expenses;101210115121; -   ; -   ; -   ; -   ; 8.936 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8.936 ; 8.301 ; 9.243 ; 9.465 ; 9.862 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5122;Hoteles Estadia Alimentacion Extranjero ;Expenses;101210115122; -   ; -   ; -   ; -   ; 3.060 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3.060 ; 3.488 ; 3.598 ; 3.153 ; 3.422 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5123;Gastos Representacion Extranjero        ;Expenses;101210115123; -   ; -   ; -   ; -   ; 1.560 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.560 ; 1.812 ; 1.682 ; 1.889 ; 1.924 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5201;Arriendo Vehiculos                      ;Expenses;101210115201; 3.733 ; 3.448 ; 3.385 ; 3.733 ; 3.638 ; 3.733 ; 3.575 ; 3.195 ; 3.733 ; 3.480 ; 3.164 ; 3.733 ; 42.549 ; 38.908 ; 39.397 ; 46.058 ; 47.377 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5203;Combustibles                            ;Expenses;101210115203; 972 ; 1.035 ; 936 ; 918 ; 900 ; 909 ; 972 ; 972 ; 936 ; 999 ; 1.008 ; 891 ; 11.448 ; 11.660 ; 11.620 ; 12.495 ; 13.954 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5301;Materiales y Utiles de Escritorio       ;Expenses;101210115301; 220 ; 246 ; 255 ; 226 ; 238 ; 233 ; 246 ; 267 ; 240 ; 242 ; 246 ; 264 ; 2.924 ; 2.972 ; 3.061 ; 2.799 ; 3.088 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5302;Suscripciones Varias (Fisicas y Electron;Expenses;101210115302; 97 ; 105 ; 108 ; 106 ; 105 ; 91 ; 95 ; 100 ; 88 ; 99 ; 92 ; 96 ; 1.183 ; 1.194 ; 1.174 ; 1.261 ; 1.321 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5411;Ropa y Equipos Proteccion Personal      ;Expenses;101210115411; 545 ; 583 ; 649 ; 627 ; 622 ; 655 ; 561 ; 605 ; 644 ; 578 ; 605 ; 556 ; 7.227 ; 1.467 ; 1.523 ; 1.557 ; 1.582 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5501;Honorarios Consultores Nacionales       ;Expenses;101210115501; 46.325 ; 48.450 ; 50.150 ; 45.475 ; 41.650 ; 47.175 ; 50.575 ; 50.575 ; 45.475 ; 51.000 ; 46.750 ; 42.075 ; 565.675 ; 643.185 ; 648.225 ; 551.943 ; 590.179 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5503;Otros Gastos Consultores                ;Expenses;101210115503; 399 ; 407 ; 418 ; 369 ; 399 ; 452 ; 376 ; 407 ; 440 ; 376 ; 425 ; 422 ; 4.890 ; 5.447 ; 5.467 ; 5.367 ; 5.044 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5602;Hoteles Estadia Alimentacion            ;Expenses;101210115602; 1.046 ; 1.208 ; 1.005 ; 1.198 ; 1.219 ; 1.036 ; 1.097 ; 1.066 ; 1.147 ; 1.127 ; 1.219 ; 1.117 ; 13.485 ; 14.573 ; 13.747 ; 15.248 ; 14.385 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5603;Otros Gastos Reuniones                  ;Expenses;101210115603; 529 ; 511 ; 448 ; 457 ; 448 ; 479 ; 520 ; 502 ; 533 ; 457 ; 497 ; 493 ; 5.875 ; 6.485 ; 6.177 ; 6.051 ; 6.520 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6115;Correo Courier                          ;Expenses;101210116115; 444 ; 448 ; 472 ; 404 ; 416 ; 464 ; 436 ; 440 ; 408 ; 440 ; 428 ; 456 ; 5.256 ; 5.124 ; 5.637 ; 5.477 ; 6.010 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6148;Gastos Cafeteria                        ;Expenses;101210116148; 1.422 ; 1.524 ; 1.245 ; 1.410 ; 1.346 ; 1.486 ; 1.384 ; 1.499 ; 1.257 ; 1.460 ; 1.384 ; 1.511 ; 16.928 ; 17.307 ; 16.255 ; 19.230 ; 17.180 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6314;Relaciones Internas y Publicas          ;Expenses;101210116314; 37.500 ; 38.250 ; 43.500 ; 44.250 ; 43.125 ; 41.250 ; 45.000 ; 45.000 ; 43.125 ; 40.125 ; 37.875 ; 40.875 ; 499.875 ; 76.965 ; 73.637 ; 79.159 ; 79.707 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6322;Mantencion Equipos y Elementos Medio Amb;Expenses;101210116322; 2.568 ; 2.338 ; 2.315 ; 2.338 ; 2.407 ; 2.682 ; 2.292 ; 2.659 ; 2.430 ; 2.338 ; 2.247 ; 2.590 ; 29.206 ; 33.243 ; 30.604 ; 32.260 ; 33.266 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6323;Contrato Recoleccion y Disposicion Resid;Expenses;101210116323; 538.642 ; 489.225 ; 499.108 ; 523.817 ; 499.108 ; 489.225 ; 508.992 ; 548.525 ; 523.817 ; 484.283 ; 523.817 ; 588.058 ; 6.216.617 ; 7.179.063 ; 7.911.168 ; 9.403.802 ; 11.796.705 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6332;Estudios Compensacion Bofedales         ;Expenses;101210116332; 7.490 ; 8.330 ; 7.840 ; 7.910 ; 6.930 ; 7.840 ; 7.490 ; 7.000 ; 8.050 ; 7.140 ; 8.330 ; 8.190 ; 92.540 ; 97.277 ; 98.640 ; 95.844 ; 91.689 
1012;Gerente Medio Ambiente                 ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6334;Otros Estudios                          ;Expenses;101210116334; 9.167 ; 11.000 ; 8.983 ; 8.983 ; 9.808 ; 10.817 ; 10.817 ; 9.717 ; 9.258 ; 9.075 ; 9.808 ; 10.083 ; 117.517 ; 134.268 ; 142.171 ; 121.975 ; 132.846 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;3101;Remuneraciones Supervision              ;Labor;101310113101; 171.365 ; 117.261 ; 126.833 ; 173.490 ; 127.723 ; 137.047 ; 170.607 ; 140.123 ; 121.523 ; 149.891 ; 130.562 ; 181.042 ; 1.747.466 ; 1.631.977 ; 1.750.466 ; 2.054.446 ; 1.994.572 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5111;Pasajes Nacionales                      ;Expenses;101310115111; 1.392 ; 1.236 ; 1.200 ; 1.368 ; 1.368 ; 1.368 ; 1.332 ; 1.248 ; 1.416 ; 1.248 ; 1.236 ; 1.260 ; 15.672 ; 14.617 ; 16.984 ; 15.143 ; 17.306 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5112;Hoteles Estadia Alimentacion Nacionales ;Expenses;101310115112; 368 ; 358 ; 320 ; 374 ; 330 ; 355 ; 358 ; 365 ; 365 ; 381 ; 365 ; 336 ; 4.275 ; 3.821 ; 4.135 ; 4.603 ; 4.125 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5121;Pasajes Internacionales                 ;Expenses;101310115121; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8.855 ; -   ; -   ; -   ; -   ; 8.855 ; 9.685 ; 8.500 ; 8.460 ; 9.947 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5122;Hoteles Estadia Alimentacion Extranjero ;Expenses;101310115122; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4.360 ; -   ; -   ; -   ; -   ; 4.360 ; 4.853 ; 4.552 ; 4.412 ; 4.647 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5201;Arriendo Vehiculos                      ;Expenses;101310115201; 6.642 ; 6.184 ; 6.012 ; 6.699 ; 6.241 ; 5.955 ; 6.642 ; 6.642 ; 6.127 ; 6.356 ; 5.669 ; 6.184 ; 75.352 ; 78.003 ; 74.088 ; 78.361 ; 72.058 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5203;Combustibles                            ;Expenses;101310115203; 2.450 ; 2.875 ; 2.925 ; 2.950 ; 2.925 ; 2.800 ; 2.650 ; 2.500 ; 2.925 ; 2.450 ; 2.450 ; 2.975 ; 32.875 ; 32.087 ; 36.622 ; 31.523 ; 35.532 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5301;Materiales y Utiles de Escritorio       ;Expenses;101310115301; -   ; -   ; 580 ; -   ; -   ; -   ; -   ; -   ; 575 ; -   ; -   ; -   ; 1.155 ; 1.005 ; 1.221 ; 1.083 ; 1.266 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5302;Suscripciones Varias (Fisicas y Electron;Expenses;101310115302; -   ; -   ; 1.000 ; -   ; -   ; -   ; -   ; -   ; 1.170 ; -   ; -   ; -   ; 2.170 ; 2.291 ; 2.133 ; 2.482 ; 2.297 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5411;Ropa y Equipos Proteccion Personal      ;Expenses;101310115411; 635 ; 641 ; 659 ; 593 ; 696 ; 641 ; 623 ; 708 ; 623 ; 726 ; 726 ; 641 ; 7.913 ; 8.066 ; 7.649 ; 7.234 ; 7.660 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5501;Honorarios Consultores Nacionales       ;Expenses;101310115501; 4.500 ; 4.875 ; 5.000 ; 4.542 ; 4.333 ; 5.000 ; 4.250 ; 4.500 ; 5.000 ; 4.417 ; 4.292 ; 4.792 ; 55.500 ; 49.048 ; 58.199 ; 54.907 ; 56.853 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5503;Otros Gastos Consultores                ;Expenses;101310115503; 297 ; 300 ; 315 ; 360 ; 297 ; 294 ; 303 ; 306 ; 357 ; 321 ; 336 ; 339 ; 3.825 ; 3.944 ; 4.062 ; 4.126 ; 3.905 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6148;Gastos Cafeteria                        ;Expenses;101310116148; 404 ; 424 ; 444 ; 460 ; 420 ; 408 ; 448 ; 396 ; 480 ; 480 ; 392 ; 452 ; 5.208 ; 5.499 ; 5.760 ; 5.704 ; 5.973 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6314;Relaciones Internas y Publicas          ;Expenses;101310116314; -   ; -   ; -   ; 8.190 ; -   ; -   ; -   ; 6.930 ; -   ; -   ; -   ; 7.770 ; 22.890 ; 24.954 ; 22.930 ; 26.623 ; 24.495 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6321;Materiales Medio Ambiente               ;Expenses;101310116321; -   ; -   ; 2.525 ; -   ; -   ; -   ; 2.450 ; -   ; -   ; -   ; -   ; -   ; 4.975 ; 6.042 ; 5.150 ; 6.022 ; 6.100 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6322;Mantencion Equipos y Elementos Medio Amb;Expenses;101310116322; 43.731 ; 44.541 ; 46.970 ; 43.326 ; 47.375 ; 45.351 ; 41.302 ; 47.375 ; 47.780 ; 41.302 ; 42.921 ; 40.087 ; 532.061 ; 421.938 ; 397.130 ; 383.306 ; 437.160 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6328;Contrato Muestras Monitoreo             ;Expenses;101310116328; 240.816 ; 215.904 ; 209.676 ; 228.360 ; 236.664 ; 215.904 ; 247.044 ; 232.512 ; 236.664 ; 203.448 ; 240.816 ; 205.524 ; 2.713.332 ; 3.171.690 ; 2.971.699 ; 2.988.520 ; 3.287.851 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6331;Estudios Compensacion Queñoas           ;Expenses;101310116331; 76.700 ; 67.600 ; 73.450 ; 74.750 ; 67.600 ; 66.950 ; 76.050 ; 64.350 ; 68.900 ; 74.100 ; 71.500 ; 74.100 ; 856.050 ; 816.888 ; 843.633 ; 848.778 ; 968.256 
1013;Ste. Medio Ambiente                     ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6332;Estudios Compensacion Bofedales         ;Expenses;101310116332; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 428.984 ; 384.796 ; 449.320 ; 412.745 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;3101;Remuneraciones Supervision              ;Labor;101410113101; 51.743 ; 42.393 ; 45.751 ; 63.865 ; 45.274 ; 51.335 ; 52.363 ; 44.839 ; 44.403 ; 55.498 ; 47.168 ; 54.264 ; 598.896 ; 638.988 ; 654.129 ; 629.269 ; 690.913 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5111;Pasajes Nacionales                      ;Expenses;101410115111; 1.344 ; 1.440 ; 1.368 ; 1.296 ; 1.416 ; 1.320 ; 1.260 ; 1.404 ; 1.260 ; 1.224 ; 1.440 ; 1.332 ; 16.104 ; 16.064 ; 14.474 ; 16.657 ; 17.766 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5112;Hoteles Estadia Alimentacion Nacionales ;Expenses;101410115112; 816 ; 872 ; 904 ; 952 ; 824 ; 952 ; 808 ; 936 ; 808 ; 792 ; 952 ; 792 ; 10.408 ; 9.744 ; 11.815 ; 10.701 ; 10.006 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5121;Pasajes Internacionales                 ;Expenses;101410115121; -   ; -   ; -   ; -   ; -   ; -   ; 8.775 ; -   ; -   ; -   ; -   ; -   ; 8.775 ; 8.057 ; 8.665 ; 9.633 ; 9.437 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5122;Hoteles Estadia Alimentacion Extranjero ;Expenses;101410115122; -   ; -   ; -   ; -   ; -   ; -   ; 3.120 ; -   ; -   ; -   ; -   ; -   ; 3.120 ; 3.063 ; 3.260 ; 3.434 ; 3.295 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5123;Gastos Representacion Extranjero        ;Expenses;101410115123; -   ; -   ; -   ; -   ; -   ; -   ; 1.470 ; -   ; -   ; -   ; -   ; -   ; 1.470 ; 1.634 ; 1.438 ; 1.597 ; 1.597 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5201;Arriendo Vehiculos                      ;Expenses;101410115201; 4.362 ; 4.481 ; 4.322 ; 4.560 ; 4.758 ; 4.481 ; 4.441 ; 4.679 ; 4.124 ; 3.925 ; 4.322 ; 4.163 ; 52.617 ; 46.798 ; 48.247 ; 53.471 ; 59.628 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5203;Combustibles                            ;Expenses;101410115203; 909 ; 918 ; 918 ; 1.017 ; 927 ; 1.017 ; 963 ; 1.071 ; 1.062 ; 1.017 ; 945 ; 981 ; 11.745 ; 11.769 ; 11.620 ; 13.182 ; 11.512 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5301;Materiales y Utiles de Escritorio       ;Expenses;101410115301; 321 ; 294 ; 315 ; 300 ; 324 ; 297 ; 294 ; 330 ; 360 ; 321 ; 306 ; 303 ; 3.765 ; 3.546 ; 4.394 ; 3.899 ; 3.867 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5302;Suscripciones Varias (Fisicas y Electron;Expenses;101410115302; 117 ; 108 ; 106 ; 119 ; 117 ; 99 ; 111 ; 110 ; 116 ; 113 ; 114 ; 112 ; 1.342 ; 1.254 ; 1.440 ; 1.325 ; 1.493 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5411;Ropa y Equipos Proteccion Personal      ;Expenses;101410115411; 1.039 ; 927 ; 946 ; 992 ; 983 ; 964 ; 955 ; 955 ; 937 ; 1.085 ; 927 ; 1.076 ; 11.786 ; 11.896 ; 13.745 ; 14.092 ; 11.996 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;5503;Otros Gastos Consultores                ;Expenses;101410115503; 896 ; 848 ; 816 ; 848 ; 856 ; 936 ; 880 ; 952 ; 928 ; 856 ; 960 ; 840 ; 10.616 ; 10.806 ; 10.535 ; 11.508 ; 11.946 
1014;Ste. Proyectos y Estudios Ambientales   ;GMA;GMA;1011;Dpto. Medio Ambiente                    ;6148;Gastos Cafeteria                        ;Expenses;101410116148; 345 ; 306 ; 321 ; 336 ; 303 ; 336 ; 351 ; 324 ; 354 ; 318 ; 318 ; 300 ; 3.912 ; 4.088 ; 4.431 ; 4.089 ; 3.790 
